customer_id,signup_date,region,channel
CUST00001,2024-04-12,Central,Mobile App
CUST00002,2025-03-11,East,Online
CUST00003,2024-09-27,South,Retail Store
CUST00004,2024-04-16,East,Online
CUST00005,2024-03-12,South,Marketplace
CUST00006,2024-01-21,East,Retail Store
CUST00007,2024-05-01,Central,Retail Store
CUST00008,2025-04-11,Central,Marketplace
CUST00009,2024-08-02,North,Online
CUST00010,2024-11-26,East,Mobile App
CUST00011,2025-04-03,West,Retail Store
CUST00012,2024-03-28,North,Online
CUST00013,2025-01-07,East,Marketplace
CUST00014,2024-04-09,East,Marketplace
CUST00015,2024-05-10,North,Online
CUST00016,2024-11-04,Central,Marketplace
CUST00017,2024-12-09,East,Mobile App
CUST00018,2025-05-06,Central,Online
CUST00019,2025-02-17,North,Mobile App
CUST00020,2025-01-20,Central,Online
CUST00021,2024-07-10,South,Online
CUST00022,2024-10-03,West,Online
CUST00023,2024-06-09,East,Marketplace
CUST00024,2025-04-04,West,Marketplace
CUST00025,2024-11-09,Central,Online
CUST00026,2024-01-22,East,Online
CUST00027,2024-09-09,Central,Retail Store
CUST00028,2025-04-19,South,Online
CUST00029,2024-02-28,North,Marketplace
CUST00030,2025-05-25,East,Marketplace
CUST00031,2025-04-20,South,Retail Store
CUST00032,2024-07-08,South,Mobile App
CUST00033,2024-08-31,East,Online
CUST00034,2025-05-19,Central,Mobile App
CUST00035,2024-05-10,South,Marketplace
CUST00036,2025-04-29,West,Retail Store
CUST00037,2024-01-21,South,Online
CUST00038,2024-06-15,Central,Marketplace
CUST00039,2024-09-30,Central,Online
CUST00040,2025-01-22,West,Online
CUST00041,2024-11-11,South,Online
CUST00042,2024-01-14,Central,Retail Store
CUST00043,2024-08-29,East,Retail Store
CUST00044,2024-12-11,North,Marketplace
CUST00045,2024-12-05,North,Marketplace
CUST00046,2024-04-01,North,Online
CUST00047,2025-01-01,South,Marketplace
CUST00048,2025-03-30,West,Online
CUST00049,2025-03-03,Central,Marketplace
CUST00050,2025-05-23,East,Marketplace
CUST00051,2024-02-04,East,Retail Store
CUST00052,2024-07-24,South,Marketplace
CUST00053,2024-03-21,North,Online
CUST00054,2025-01-22,South,Retail Store
CUST00055,2024-01-02,West,Marketplace
CUST00056,2025-01-24,West,Retail Store
CUST00057,2024-04-15,Central,Online
CUST00058,2025-04-21,Central,Retail Store
CUST00059,2025-02-05,West,Marketplace
CUST00060,2024-06-10,West,Online
CUST00061,2024-07-20,West,Online
CUST00062,2024-09-26,South,Marketplace
CUST00063,2024-09-27,West,Marketplace
CUST00064,2025-03-31,East,Online
CUST00065,2025-04-06,North,Online
CUST00066,2024-09-08,West,Online
CUST00067,2024-10-22,North,Online
CUST00068,2024-12-03,South,Retail Store
CUST00069,2024-02-22,North,Marketplace
CUST00070,2024-08-04,South,Marketplace
CUST00071,2024-07-06,East,Retail Store
CUST00072,2025-01-14,South,Online
CUST00073,2025-05-07,South,Marketplace
CUST00074,2024-02-10,Central,Retail Store
CUST00075,2024-06-05,West,Mobile App
CUST00076,2024-01-15,West,Retail Store
CUST00077,2024-03-05,East,Online
CUST00078,2025-06-04,East,Marketplace
CUST00079,2024-12-09,West,Online
CUST00080,2024-05-08,Central,Marketplace
CUST00081,2025-04-16,West,Online
CUST00082,2024-03-03,Central,Online
CUST00083,2024-05-18,East,Marketplace
CUST00084,2025-05-13,North,Online
CUST00085,2025-01-26,East,Marketplace
CUST00086,2025-02-22,East,Online
CUST00087,2024-10-15,South,Retail Store
CUST00088,2025-01-13,South,Marketplace
CUST00089,2025-05-04,South,Retail Store
CUST00090,2024-08-18,South,Online
CUST00091,2024-02-10,Central,Online
CUST00092,2024-01-28,West,Online
CUST00093,2024-05-14,North,Online
CUST00094,2024-07-19,East,Marketplace
CUST00095,2024-02-02,Central,Mobile App
CUST00096,2024-02-17,North,Marketplace
CUST00097,2025-05-17,Central,Marketplace
CUST00098,2025-02-10,Central,Marketplace
CUST00099,2024-04-08,East,Marketplace
CUST00100,2025-06-30,West,Online
CUST00101,2025-04-06,South,Mobile App
CUST00102,2024-01-05,West,Marketplace
CUST00103,2024-08-05,East,Retail Store
CUST00104,2025-05-17,East,Online
CUST00105,2025-02-01,East,Online
CUST00106,2025-01-27,North,Retail Store
CUST00107,2024-07-25,West,Marketplace
CUST00108,2024-01-15,West,Retail Store
CUST00109,2025-04-05,Central,Online
CUST00110,2024-08-28,Central,Mobile App
CUST00111,2024-04-05,Central,Online
CUST00112,2025-04-29,East,Online
CUST00113,2025-02-10,West,Online
CUST00114,2024-08-18,East,Marketplace
CUST00115,2024-06-19,North,Mobile App
CUST00116,2025-06-24,Central,Online
CUST00117,2024-02-05,East,Marketplace
CUST00118,2025-06-08,East,Online
CUST00119,2024-06-08,North,Mobile App
CUST00120,2024-08-30,South,Marketplace
CUST00121,2024-03-26,West,Marketplace
CUST00122,2024-01-28,South,Online
CUST00123,2024-12-05,Central,Mobile App
CUST00124,2024-11-26,East,Marketplace
CUST00125,2025-05-20,North,Online
CUST00126,2024-12-13,North,Marketplace
CUST00127,2025-04-17,West,Online
CUST00128,2024-08-18,South,Marketplace
CUST00129,2024-07-08,West,Online
CUST00130,2024-08-12,East,Marketplace
CUST00131,2025-01-19,West,Retail Store
CUST00132,2025-01-11,North,Online
CUST00133,2024-10-09,North,Online
CUST00134,2024-09-15,Central,Online
CUST00135,2024-12-24,Central,Retail Store
CUST00136,2025-03-31,East,Online
CUST00137,2025-02-14,South,Retail Store
CUST00138,2024-11-13,West,Online
CUST00139,2024-08-12,East,Online
CUST00140,2024-08-21,Central,Marketplace
CUST00141,2025-01-08,West,Online
CUST00142,2025-04-16,Central,Mobile App
CUST00143,2024-08-20,West,Marketplace
CUST00144,2024-04-22,South,Marketplace
CUST00145,2025-05-11,East,Retail Store
CUST00146,2025-03-17,West,Marketplace
CUST00147,2024-09-24,North,Online
CUST00148,2025-05-24,North,Online
CUST00149,2025-01-20,West,Online
CUST00150,2025-01-21,West,Marketplace
CUST00151,2024-04-22,West,Online
CUST00152,2024-03-21,North,Retail Store
CUST00153,2024-04-22,North,Mobile App
CUST00154,2024-01-02,West,Marketplace
CUST00155,2024-08-07,Central,Retail Store
CUST00156,2024-08-12,Central,Online
CUST00157,2025-01-19,South,Marketplace
CUST00158,2025-02-06,East,Retail Store
CUST00159,2024-05-09,Central,Online
CUST00160,2024-02-22,North,Online
CUST00161,2025-02-19,Central,Mobile App
CUST00162,2024-09-03,South,Marketplace
CUST00163,2025-03-14,South,Marketplace
CUST00164,2024-07-21,East,Marketplace
CUST00165,2024-07-02,Central,Retail Store
CUST00166,2024-05-02,North,Retail Store
CUST00167,2025-02-04,North,Online
CUST00168,2024-10-20,West,Online
CUST00169,2024-10-06,North,Online
CUST00170,2024-07-16,East,Marketplace
CUST00171,2025-05-25,East,Retail Store
CUST00172,2024-05-23,North,Marketplace
CUST00173,2024-07-19,North,Online
CUST00174,2024-05-03,West,Retail Store
CUST00175,2024-07-05,North,Retail Store
CUST00176,2024-11-21,West,Retail Store
CUST00177,2025-04-08,West,Marketplace
CUST00178,2024-12-14,North,Online
CUST00179,2025-02-06,South,Retail Store
CUST00180,2024-12-11,South,Online
CUST00181,2025-05-25,West,Online
CUST00182,2024-05-26,North,Retail Store
CUST00183,2024-05-27,South,Marketplace
CUST00184,2025-05-03,North,Mobile App
CUST00185,2024-12-03,North,Retail Store
CUST00186,2025-04-17,North,Marketplace
CUST00187,2024-05-30,Central,Retail Store
CUST00188,2025-02-18,North,Retail Store
CUST00189,2024-10-24,Central,Online
CUST00190,2024-09-19,West,Online
CUST00191,2024-05-23,South,Online
CUST00192,2024-12-11,South,Retail Store
CUST00193,2024-01-02,South,Online
CUST00194,2024-10-30,South,Online
CUST00195,2024-09-10,South,Online
CUST00196,2025-03-28,South,Mobile App
CUST00197,2024-02-06,South,Online
CUST00198,2024-06-08,West,Retail Store
CUST00199,2024-01-09,North,Online
CUST00200,2024-08-20,East,Retail Store
CUST00201,2024-04-08,Central,Online
CUST00202,2024-07-26,East,Online
CUST00203,2024-05-10,East,Retail Store
CUST00204,2025-02-07,North,Online
CUST00205,2024-05-31,North,Online
CUST00206,2024-02-23,North,Online
CUST00207,2024-04-29,South,Online
CUST00208,2025-02-23,West,Online
CUST00209,2025-02-25,South,Online
CUST00210,2024-04-13,West,Marketplace
CUST00211,2024-09-10,West,Retail Store
CUST00212,2024-08-14,East,Retail Store
CUST00213,2024-04-21,East,Online
CUST00214,2025-05-24,West,Mobile App
CUST00215,2025-04-17,West,Online
CUST00216,2024-04-08,South,Online
CUST00217,2024-06-01,South,Retail Store
CUST00218,2024-12-03,East,Online
CUST00219,2024-06-11,North,Online
CUST00220,2024-06-09,West,Retail Store
CUST00221,2025-02-01,South,Marketplace
CUST00222,2024-10-03,East,Retail Store
CUST00223,2025-05-18,South,Marketplace
CUST00224,2025-01-26,West,Mobile App
CUST00225,2024-05-14,West,Online
CUST00226,2024-07-13,Central,Online
CUST00227,2025-02-04,North,Online
CUST00228,2024-02-02,Central,Online
CUST00229,2025-04-04,East,Online
CUST00230,2025-04-14,South,Mobile App
CUST00231,2025-01-09,East,Marketplace
CUST00232,2024-01-22,West,Retail Store
CUST00233,2024-02-07,Central,Online
CUST00234,2024-08-17,Central,Marketplace
CUST00235,2024-12-30,Central,Mobile App
CUST00236,2025-03-13,East,Marketplace
CUST00237,2024-10-09,West,Online
CUST00238,2024-01-27,South,Retail Store
CUST00239,2024-08-13,South,Online
CUST00240,2024-10-03,East,Online
