order_id,customer_id,order_date,category,quantity,unit_price,discount_pct,discount_amt,gross_revenue,net_revenue,refunded,region,channel
100001,CUST00295,2024-05-16,Home & Kitchen,1,3235.5,0.0,0.0,3235.5,3235.5,0,Central,Retail Store
100002,CUST00039,2024-10-24,Grocery,3,2538.62,0.0,0.0,7615.86,7615.86,0,Central,Online
100003,CUST00121,2024-04-28,Sports,2,2758.67,0.0,0.0,5517.34,5517.34,0,West,Marketplace
100004,CUST00485,2025-05-20,Electronics,4,0.0,0.1,0.0,0.0,0.0,0,West,Retail Store
100005,CUST00663,2024-04-13,Apparel,1,4876.88,0.0,0.0,4876.88,4876.88,0,South,Online
100006,CUST00220,2024-08-20,Apparel,5,912.88,0.0,0.0,4564.4,4564.4,0,West,Retail Store
100007,CUST01113,2024-07-12,Sports,1,3868.37,0.0,0.0,3868.37,3868.37,0,South,Marketplace
100008,CUST00040,2025-03-19,Electronics,2,4178.86,0.0,0.0,8357.72,8357.72,0,West,Online
100009,CUST01108,2025-07-30,Sports,4,1887.85,0.0,0.0,7551.4,7551.4,0,East,Online
100010,CUST00963,2025-03-10,Sports,3,2141.0,0.0,0.0,6423.0,6423.0,0,South,Online
100011,CUST00465,2024-11-09,Electronics,2,2934.65,0.0,0.0,5869.3,5869.3,0,West,Mobile App
100012,CUST00607,2025-08-12,Sports,1,3027.39,0.0,0.0,3027.39,3027.39,0,Central,Online
100013,CUST00445,2024-09-05,Home & Kitchen,3,2082.27,0.1,624.68,6246.81,5622.13,0,North,Marketplace
100014,CUST00456,2025-02-16,Electronics,3,3743.21,0.05,561.48,11229.63,10668.15,0,East,Online
100015,CUST00423,2024-08-29,Apparel,2,3682.43,0.15,1104.73,7364.86,6260.13,0,South,Retail Store
100016,CUST00851,2025-04-10,Apparel,4,3064.53,0.0,0.0,12258.12,12258.12,0,West,Retail Store
100017,CUST00992,2025-04-15,Home & Kitchen,1,1124.08,0.1,112.41,1124.08,1011.67,0,Central,Online
100018,CUST00210,2025-01-08,Beauty,4,3804.21,0.0,0.0,15216.84,15216.84,0,West,Marketplace
100019,CUST00105,2025-06-22,Beauty,5,2424.81,0.0,0.0,12124.05,-12124.05,1,East,Online
100020,CUST01057,2025-06-30,Sports,5,1760.07,0.0,0.0,8800.35,8800.35,0,East,Marketplace
100021,CUST00275,2025-09-28,Home & Kitchen,2,1943.37,0.1,388.67,3886.74,3498.07,0,West,Online
100022,CUST01075,2024-06-17,Beauty,3,1999.57,0.0,0.0,5998.71,5998.71,0,West,Retail Store
100023,CUST00798,2025-07-13,Grocery,2,2402.79,0.0,0.0,4805.58,4805.58,0,West,Marketplace
100024,CUST00785,2025-10-15,Sports,5,2759.06,0.05,689.76,13795.3,13105.54,0,West,Retail Store
100025,CUST00668,2025-06-19,Sports,1,1587.36,0.4,634.94,1587.36,952.42,0,West,Marketplace
100026,CUST00743,2024-03-24,Grocery,2,3312.79,0.25,1656.4,6625.58,4969.18,0,West,Online
100027,CUST00208,2025-03-19,Apparel,5,3590.66,0.15,2693.0,17953.3,15260.3,0,West,Online
100028,CUST00284,2025-09-14,Apparel,3,2706.88,0.1,812.06,8120.64,7308.58,0,South,Marketplace
