customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST00001,215,15,117439.1,2,4,4,10,Champions
CUST00002,151,4,26562.43,3,1,1,5,Dormant
CUST00003,221,9,102763.95,2,4,4,10,Champions
CUST00004,340,10,73834.4,1,4,4,9,Loyal
CUST00005,602,3,24295.31,1,1,1,3,Dormant
CUST00006,427,6,37903.99,1,2,2,5,Dormant
CUST00007,271,10,48610.63,2,4,3,9,Loyal
CUST00008,178,6,48415.26,3,2,3,8,Loyal
CUST00009,253,6,29367.46,2,2,1,5,Dormant
CUST00010,289,7,44089.76,2,2,3,7,At Risk
CUST00011,69,8,65785.79000000001,4,3,4,11,Champions
CUST00012,153,9,106580.98,3,4,4,11,Champions
CUST00013,23,4,23397.06,4,1,1,6,At Risk
CUST00014,523,3,16967.36,1,1,1,3,Dormant
CUST00015,501,5,36137.86,1,1,2,4,Dormant
CUST00016,354,5,50403.8,1,1,3,5,Dormant
CUST00017,196,4,24315.77,3,1,1,5,Dormant
CUST00018,108,2,28117.31,3,1,1,5,Dormant
CUST00019,161,5,43767.05,3,1,2,6,At Risk
CUST00020,217,10,64112.93,2,4,4,10,Champions
CUST00021,72,6,56270.2,4,2,3,9,Loyal
CUST00022,226,5,46550.71,2,1,3,6,At Risk
CUST00023,366,9,61742.0,1,4,3,8,Loyal
CUST00024,107,4,13585.96,3,1,1,5,Dormant
CUST00025,241,8,68254.05,2,3,4,9,Loyal
CUST00026,563,9,42681.57,1,4,2,7,At Risk
CUST00027,317,9,81404.94,2,4,4,10,Champions
CUST00028,107,4,27260.65,3,1,1,5,Dormant
CUST00029,358,15,109533.83,1,4,4,9,Loyal
CUST00030,82,5,54709.15,4,1,3,8,Loyal
CUST00031,2,3,18247.78,4,1,1,6,At Risk
CUST00032,199,9,75146.76,3,4,4,11,Champions
CUST00033,83,14,61392.45,4,4,3,11,Champions
CUST00034,47,7,35832.81,4,2,2,8,Loyal
CUST00035,148,6,43349.82,3,2,2,7,At Risk
